id,name,altName,caloriesPer100g,proteinPer100g,carbsPer100g,fatPer100g,source
dost-0,"Corn grits, white","Mais, durog, puti",357,8.3,77.5,1.5,DOST PH
dost-1,"Corn grits, yellow","Mais, durog, dilaw",350,7.7,78.1,0.8,DOST PH
dost-2,"Corn on cob, white","Mais sa busal, puti",148,4.4,30.9,0.8,DOST PH
dost-3,"Corn on cob, yellow","Mais sa busal, dilaw",173,4.4,35.4,1.5,DOST PH
dost-4,"Corn on cob, yellow, boiled","Mais sa busal, dilaw, nilaga",167,3.3,35.7,1.2,DOST PH
dost-5,"Cornmeal, white","Mais, giniling, puti",353,7.6,79.2,0.6,DOST PH
dost-6,"Cornmeal, yellow","Mais, giniling, dilaw",371,8.5,77,3.2,DOST PH
dost-7,Job&#39;s tears grain,Adlay/Tigbe butil,368,13.1,73.3,2.5,DOST PH
dost-8,"Millet, glutinous",N/A,353,10.3,72.3,2.5,DOST PH
dost-9,Rice bran,Darak,316,7.8,59.9,5,DOST PH
dost-10,"Rice, glutinous, parboiled, flattened",Pinipig,340,4.3,78.5,1,DOST PH
dost-11,"Rice, milled, glutinous","Bigas, malagkit",355,6.9,80.1,0.8,DOST PH
dost-12,"Rice, milled, glutinous, milled w/ water","Bigas, malagkit, galapong",210,4.4,47.9,0.1,DOST PH
dost-13,"Rice, undermilled",Brown rice/Pinawa,363,8.1,76.3,2.8,DOST PH
dost-14,"Rice, undermilled, glutinous, purple","Bigas, malagkit, pirurutong",358,8.7,76.3,2,DOST PH
dost-15,"Rice, undermilled, glutinous, purple, boiled","Bigas, malagkit, pirurutong, sinaing",124,2.4,27.8,0.4,DOST PH
dost-16,"Rice, undermilled, red","Bigas, mapula",358,7.5,80,0.9,DOST PH
dost-17,"Rice, well-milled","Bigas, maputi",356,7.4,80.4,0.5,DOST PH
dost-18,"Rice, well-milled, boiled","Bigas, maputi, sinaing",129,2.1,29.7,0.2,DOST PH
dost-19,"Rice, well-milled, fried","Bigas, maputi, sinangag",187,2.6,35.2,4,DOST PH
dost-20,Rice-corn mixture (1:1),Bigas-mais pinaghalo (1:1),366,7.5,81.8,1,DOST PH
dost-21,"Rice-corn mixture (1:1), boiled","Bigas-mais pinaghalo (1:1), sinaing",96,2.2,21,0.3,DOST PH
dost-22,Sorghum,"Batad/Batag, butil",382,9.5,77.1,3.9,DOST PH
dost-23,"Sorghum, boiled","Batad/Batag, butil, nilaga",150,3.5,31.7,1,DOST PH
dost-24,"Ampaw, pinipig",N/A,392,3.1,91.3,1.6,DOST PH
dost-25,"Ampaw, rice",N/A,385,4.5,87.1,2.1,DOST PH
dost-26,Bicho-bicho,Bitsu-bitso,376,7.4,55.2,14,DOST PH
dost-27,"Biscuit, cocohoney",N/A,453,7,73.2,14.7,DOST PH
dost-28,"Bread, w/ margarine & sugar filling",Spanish bread,371,9.3,55.5,12.4,DOST PH
dost-29,"Bread, brown",N/A,313,12.1,64.1,0.9,DOST PH
dost-30,"Bread, cheese roll",N/A,342,10.1,45.1,13.5,DOST PH
dost-31,"Bread, cinnamon roll",N/A,387,9.1,58.1,13.1,DOST PH
dost-32,"Bread, hotdog roll",N/A,320,10.2,61.3,3.8,DOST PH
dost-33,"Bread, toasted, w/ margarine-sugar topping",Biscocho,412,9.3,77.1,7.4,DOST PH
dost-34,"Bread, mung bean loaf",Munggo bread,352,13.5,55.8,8.3,DOST PH
dost-35,"Bread, pan de bonete",N/A,329,12.3,60,4.4,DOST PH
dost-36,"Bread, pan de coco",N/A,349,9.2,60.9,7.6,DOST PH
dost-37,"Bread, pan de leche",N/A,323,10.5,63.5,3,DOST PH
dost-38,"Bread, pan de limon",N/A,321,10.6,60.9,3.9,DOST PH
dost-39,"Bread, pan de monay",N/A,318,10.6,61.3,3.4,DOST PH
dost-40,"Bread, pan de sal",N/A,330,10.1,62.9,4.2,DOST PH
dost-41,"Bread, raisin",N/A,295,9.4,53.9,4.6,DOST PH
dost-42,"Bread, rye",N/A,304,12.1,56,3.5,DOST PH
dost-43,"Bread, sweet roll",Ensaymada,326,8.6,61.6,5,DOST PH
dost-44,"Bread, sweet roll w/ mung bean filling","Ensaymada, may munggo",307,9.6,62.5,2.1,DOST PH
dost-45,"Bread, toasted","Toast/Tinapay, tostado",349,11.2,64.2,5.3,DOST PH
dost-46,"Bread, white, loaf",American loaf/Pan Amerikano,329,9.7,61.1,5.1,DOST PH
dost-47,Bunuelos,N/A,497,9.5,36.4,34.8,DOST PH
dost-48,"Cake, angel food",N/A,262,7.2,57.7,0.3,DOST PH
dost-49,"Cake, banana",N/A,331,5.4,47.2,13.4,DOST PH
dost-50,"Cake, butter",N/A,399,2.8,51,20.4,DOST PH
dost-51,"Cake, cheese cupcake",N/A,410,5.6,60,16.4,DOST PH
dost-52,"Cake, chiffon",N/A,332,7.2,49.8,11.6,DOST PH
dost-53,"Cake, chocolate",N/A,373,5.6,59.3,12.6,DOST PH
dost-54,"Cake, cream-filled roll",N/A,366,9.2,45.6,16.3,DOST PH
dost-55,"Cake, fruit",N/A,365,5,53.4,14.6,DOST PH
dost-56,"Cake, jelly roll",Pianono,326,5.3,69.9,2.8,DOST PH
dost-57,"Cake, kababayan",N/A,361,6.3,61.6,9.9,DOST PH
dost-58,"Cake, mamon",N/A,368,5.4,62.6,10.7,DOST PH
dost-59,"Cake, mamon, toasted",N/A,416,10.4,78.5,6.7,DOST PH
dost-60,"Cake, marshmallow roll",N/A,338,6.5,66.4,5.1,DOST PH
dost-61,"Cake, mocha roll",N/A,353,6.7,61.2,9,DOST PH
dost-62,"Cake, pineapple roll",N/A,255,3.5,54.5,2.5,DOST PH
dost-63,"Cake, sponge",N/A,306,8.2,56.3,5.3,DOST PH
dost-64,"Chips, cheese flvr",N/A,489,7.2,60.7,24.1,DOST PH
dost-65,"Chips, corn, bbq flvr",N/A,535,6.5,58.1,30.7,DOST PH
